NIS,Commune,Taux
52022,Fontaine-l'Evêque,"0,48"
52025,Gerpinnes,"0,38"
52048,Montigny-le-Tilleul,"0,30"
52055,Pont-à-Celles,"0,46"
52074,Aiseau-Presles,"0,39"
52075,Les Bons Villers,"0,28"
53014,Boussu,"0,58"
53020,Dour,"0,54"
53028,Frameries,"0,59"
53039,Hensies,"0,57"
53044,Jurbise,"0,38"
53046,Lens,"0,15"
53053,Mons,"0,56"
53065,Quaregnon,"0,52"
53068,Quiévrain,"0,57"
53070,Saint-Ghislain,"0,51"
53082,Colfontaine,"0,46"
53083,Honnelles,"0,48"
53084,Quévy,"0,33"
55086,Manage,"0,48"
55085,Seneffe,"0,39"
55004,Braine-le-Comte,"0,37"
55035,Le Roeulx,"0,39"
55040,Soignies,"0,49"
55050,Ecaussinnes,"0,44"
56001,Anderlues,"0,23"
56005,Beaumont,"0,60"
56016,Chimay,"0,65"
56022,Erquelinnes,"0,54"
56029,Froidchapelle,"0,67"
56044,Lobbes,"0,45"
56049,Merbes-le-Château,"0,58"
56051,Momignies,"0,53"
56078,Thuin,"0,46"
56086,Ham-sur-Heure-Nalinnes,"0,33"
56088,Sivry-Rance,"0,41"
57096,Mouscron,"0,52"
57097,Comines-Warneton,"0,49"
57003,Antoing,"0,48"
57018,Celles,"0,27"
57027,Estaimpuis,"0,31"
57062,Pecq,"0,47"
57064,Péruwelz,"0,50"
57072,Rumes,"0,26"
57081,Tournai,"0,52"
57093,Brunehaut,"0,32"
57094,Leuze-en-Hainaut,"0,51"
57095,Mont-de-l'Enclus,"0,20"
58001,La Louvière,"0,47"
58002,Binche,"0,52"
58003,Estinnes,"0,43"
58004,Morlanwelz,"0,45"
61003,Amay,"0,37"
61010,Burdinne,"0,19"
61012,Clavier,"0,40"
61019,Ferrières,"0,48"
61024,Hamoir,"0,32"
61028,Héron,"0,29"
61031,Huy,"0,53"
61039,Marchin,"0,36"
61041,Modave,"0,43"
61043,Nandrin,"0,28"
61048,Ouffet,"0,41"
61063,Verlaine,"0,43"
61068,Villers-le-Bouillet,"0,52"
61072,Wanze,"0,38"
61079,Anthisnes,"0,50"
61080,Engis,"0,37"
61081,Tinlot,"0,30"
62003,Ans,"0,44"
62006,Awans,"0,34"
62009,Aywaille,"0,43"
62011,Bassenge,"0,49"
62015,Beyne-Heusay,"0,52"
62022,Chaudfontaine,"0,41"
62026,Comblain-au-Pont,"0,57"
62027,Dalhem,"0,32"
62032,Esneux,"0,46"
62038,Fléron,"0,49"
62051,Herstal,"0,42"
62060,Juprelle,"0,33"
62063,Liège,"0,53"
62079,Oupeye,"0,37"
62093,Saint-Nicolas,"0,45"
62096,Seraing,"0,49"
62099,Soumagne,"0,36"
62100,Sprimont,"0,41"
62108,Visé,"0,40"
62118,Grâce-Hollogne,"0,45"
62119,Blégny,"0,37"
62120,Flémalle,"0,42"
62121,Neupré,"0,28"
62122,Trooz,"0,31"
63001,Amblève,n/a
63003,Aubel,"0,28"
63004,Baelen,"0,47"
63012,Bullange,n/a
63013,Butgenbach,"0,27"
63020,Dison,"0,51"
63023,Eupen,"0,62"
63035,Herve,"0,41"
63038,Jalhay,"0,37"
63040,La Calamine,"0,56"
63045,Lierneux,"0,63"
63046,Limbourg,"0,54"
63048,Lontzen,"0,42"
63049,Malmedy,"0,56"
63057,Olne,"0,32"
63058,Pepinster,"0,50"
63061,Raeren,"0,50"
63067,Saint-Vith,"0,47"
63072,Spa,"0,50"
63073,Stavelot,"0,41"
63075,Stoumont,"0,25"
63076,Theux,"0,40"
63079,Verviers,"0,54"
63080,Waimes,"0,40"
63084,Welkenraedt,"0,46"
63086,Trois-Ponts,"0,44"
63087,Burg-Reuland,n/a
63088,Plombières,"0,46"
63089,Thimister-Clermont,"0,50"
64008,Berloz,"0,24"
64015,Braives,"0,34"
64021,Crisnée,"0,29"
64023,Donceel,"0,24"
64025,Fexhe-le-Haut-Clocher,"0,32"
64029,Geer,"0,47"
64034,Hannut,"0,35"
64047,Lincent,"0,39"
64056,Oreye,"0,41"
64063,Remicourt,"0,19"
64065,Saint-Georges-sur-Meuse,"0,47"
64074,Waremme,"0,35"
64075,Wasseiges,"0,13"
64076,Faimes,"0,19"
71002,As,"0,10"
71004,Beringen,"0,17"
71011,Diepenbeek,"0,29"
71016,Genk,"0,30"
71017,Gingelom,"0,25"
71020,Halen,"0,08"
71072,Hasselt,"0,33"
71024,Herck-la-Ville,"0,44"
71034,Bourg-Léopold,"0,10"
71037,Lummen,"0,16"
71045,Nieuwerkerken,"0,17"
71053,Saint-Trond,"0,19"
71071,Tessenderlo-Ham,"0,18"
71066,Zonhoven,"0,21"
71067,Zutendaal,"0,29"
71070,Heusden-Zolder,"0,24"
72042,Oudsbergen,"0,20"
72003,Bocholt,"0,29"
72004,Bree,"0,29"
72018,Kinrooi,"0,27"
72020,Lommel,"0,15"
72021,Maaseik,"0,24"
72043,Pelt,"0,18"
72030,Peer,"0,22"
72037,Hamont-Achel,"0,28"
72038,Hechtel-Eksel,"0,26"
72039,Houthalen-Helchteren,"0,32"
72041,Dilsen-Stokkem,"0,29"
73001,Alken,"0,17"
73110,Bilzen-Hoeselt,"0,27"
73111,Tongres-Looz,"0,23"
73022,Heers,"0,30"
73028,Herstappe,n/a
73042,Lanaken,"0,22"
73066,Riemst,"0,17"
73098,Wellen,"0,00"
73107,Maasmechelen,"0,37"
73109,Fourons,"0,08"
81001,Arlon,"0,44"
81003,Attert,"0,13"
81004,Aubange,"0,34"
81013,Martelange,"0,25"
81015,Messancy,"0,29"
82039,Bastogne,"0,46"
82009,Fauvillers,n/a
82014,Houffalize,"0,25"
82032,Vielsalm,"0,40"
82036,Vaux-sur-Sûre,"0,10"
82037,Gouvy,"0,36"
82038,Sainte-Ode,"0,50"
83012,Durbuy,"0,52"
83013,Erezée,"0,50"
83028,Hotton,"0,45"
83031,La Roche-en-Ardenne,"0,48"
83034,Marche-en-Famenne,"0,41"
83040,Nassogne,"0,43"
83044,Rendeux,"0,39"
83049,Tenneville,n/a
83055,Manhay,"0,64"
84009,Bertrix,"0,29"
84010,Bouillon,"0,62"
84016,Daverdisse,"0,31"
84029,Herbeumont,"0,47"
84033,Léglise,"0,19"
84035,Libin,"0,33"
84043,Neufchâteau,"0,42"
84050,Paliseul,"0,40"
84059,Saint-Hubert,"0,53"
84068,Tellin,"0,47"
84075,Wellin,"0,29"
84077,Libramont-Chevigny,"0,40"
85007,Chiny,"0,33"
85009,Etalle,"0,23"
85011,Florenville,"0,15"
85024,Meix-devant-Virton,"0,47"
